responsetype,response,name,title,company,bank,doctype,filename
answer,"Good morning, John.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,"Good morning. On the McKinsey study, just wanted to see if you can update us with your any expectations you've developed out of that in terms of a targeted efficiency and how much of that – of any target that comes out of that would you expect would be revenue versus expenses? Thanks.",John Pancari,Analyst,Evercore ISI,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Yeah, John, this is David. So we had elements of McKinsey built into the guidance that we've given you for 2018. We're still working through – we just kind of got the first part of this done in the first quarter. There's a lot more to do and we're going to update you on kind of a three-year – this is going to be a longer journey. This is not a 2018 only. We'll have elements of this working through a couple of years, two to three years actually. We're going to update all that at our Investor Day, which will happen in February of 2019. That being said, there's elements of McKinsey of how we keep our expense number relatively flat this year and there's elements of McKinsey on how we get the growth in revenue of 3% to 6% on NIR for 2018 as well. As we think about the total commitment on revenue, it's about 70% of it is expense and about 30% of it is on the revenue side. That's our best guess thus far. We will refine those as we go through the remainder of our Simplify and Grow initiative. From an efficiency ratio standpoint, we've given you guidance. It will be below 60%. As you know we had a – when the tax rate changed, that caused all of us, all of our peers for the tax adjustment, for us, it was about 50 basis points going the other way. We did not change our guidance because we had Simplify and Grow and we also had our insurance transaction in mind at that time. So we think we're confident and we'll have an efficiency ratio below 60% in 2018. That being said, we think over time we're going to need to be in that mid-50%s and we're working towards that.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,"Got it. Thank you. That's helpful. And then separately on the capital side, you mentioned the insurance sale and along those lines, can you just talk to us about how you're thinking about the business mix if there's other areas of the business that you think you would possibly exit? And then conversely, how are you thinking about additions to the business in terms of whole bank M&A and maybe a [ph] fall (26:30) on the environment? Thanks.",John Pancari,Analyst,Evercore ISI,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"John, the first of all, the Regions Insurance has been a part of our business for a while, It's a very – we made a very analytical and thoughtful evaluation of that. It was a valuable asset for us. Very talented team in the Regions Insurance group. But we had reached a point in our analysis where we had to make a decision on how best to deploy our capital and should we try to increase the scale of our participation in that segment or was there a more valuable asset for someone else. And as you see we came to what was a complex but thoughtful decision that took what was a very valuable asset to us and we think we made a good decision for ourselves, for our customers and for our team members that are in that business. When we look at opportunities to grow, as we've said in the past, we're primarily focused on organic growth, trying to determine how to do that. We, on a very ongoing disciplined basis, look at how we're allocating our capital by product, by business, by geography, and we look for opportunities to acquire where it will help accelerate growth. We've been fairly active in non-bank acquisitions. We continue to review those opportunities. We've been very studious on bank acquisitions but continue to look at the markets and how we trade versus banks that we might be interested in, and it's still economically challenging. So while we're looking at it, we're studying it. We understand where the markets are at. We just think the opportunity for bank M&A for us is fairly limited at the moment. And so we're trying to prioritize how we grow. And again, I think, organic's first way we grow and non-bank acquisition is the second way we grow at this moment.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,"Got it. All right, thanks, Grayson.",John Pancari,Analyst,Evercore ISI,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Hi, Ryan.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,"Hey, good morning, guys. Hi, Grayson. Maybe I'll ask John's question a little different way. Was there a full business review done in making the decision to selling the insurance business, and are you currently looking at other businesses to potentially sell that you're either subscale or you're not achieving your desired returns? O. B. Grayson Hall, Jr. Chairman, President & Chief Executive Officer, Regions Financial Corp. A I mean, Ryan, absolutely. I mean, we take a full business review, all of our businesses on a fairly frequent basis. But we – David has probably mentioned it hundreds of times in terms of optimizing our allocation of capital and we've really spent a lot of time not only in our finance team but also in our business leadership teams determining exactly what a reasonable rate of return is for those businesses. We set different hurdles for them. As you might imagine, we debate them back and forth because those profit pools expand and contract depending on where you're at in the cycle. And so we look at – we try to look at these businesses on a long-term sustainable basis, not just a particular point in time. As you might imagine, our decision to divest Regions Insurance was a difficult decision because we've been in that business for a long time and, like I said, a great team of people running it. But when we look at the risk adjusted returns in that business and what we had to do to improve those, we came to the conclusion given where those assets are trading today that the best decision for us was to divest that business. We look at all our businesses that way and not that we intend to share our debates but you could can rest assured that there is a rigorous debate going on all the time regarding the businesses that we're in. David, do you want to add that?",Ryan M. Nash,Analyst,Goldman Sachs & Co. LLC,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Yeah. I would say that there are a lot of factors that we look at, as Grayson mentioned, in evaluating a business. We look at how synergistic businesses are or not. In this particular case, insurance, we had more of a retail platform than BB&T did. BB&T has a wholesale platform that they can marry up with retail. They had more scale in the business than we did and, for us, to get the scale we thought we needed to have to become more efficient at it, as you can see now that the efficiency ratio was pretty high for us in the business, and to get the scale and efficiency ratio down was going to require a disproportionate amount of capital investment that we felt we could use elsewhere. And it's a good thing, it's a good business, good people. As a matter of fact we use them as well and we think that BB&T can do more with it than we can and we have – we'll put our capital to use in a more appropriate fashion.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"And we do think it is a good transaction for us, and likewise I think it was a good transaction for BB&T.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,"Got it. Thanks for all the color. And I guess, David, you note in the slides that consumer betas are near zero, commercial is running just below 40%. Can you maybe just give us a sense what's baked into your 4% to 6% NII growth for the rest of the year? And have you had to make any changes on the consumer side with the most recent hikes? Thanks for taking my question.",Ryan M. Nash,Analyst,Goldman Sachs & Co. LLC,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Yes. So you're right. That consumer beta has been low to nonexistent. We do think that we'll get pressure over time, and we aren't seeing it on the consumer side yet, but we expect that to happen. We have a beta still baked in in that 35% range going up to 60% over time. The commercial side, a lot of that's indexed to the funds rate or other rates in wealth management. And we've been fairly conservative with our betas. They've proven out better than we thought. We're at 13% cumulative beta, and we think for the next – maybe the next one or two moves, maybe we keep it low. But over time it's going to catch up to where we think it's going to be in that 40% to 60% range. As you think about Q2, we really don't put a beta forecast as we haven't given you that, but we expect that to be fairly similar to what we just saw this past quarter.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,Thanks for the color.,Ryan M. Nash,Analyst,Goldman Sachs & Co. LLC,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Good Morning, Erika.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,"Good morning. Thank you for taking my questions. I just wanted to get a little bit of clarity in terms of timing of announcement regarding some of the conclusions from Simplify and Grow. I think the market had been expecting an update, a more formal update in the summer. I'm wondering if there still will be a formal update in the summer in addition to during your February 2019 Investor Day or should we wait until the 2019 Investor Day to get a more robust update?",Erika Najarian,Analyst,Bank of America Merrill Lynch,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Erika, what we want to do is make sure we have a very solid footing on our Simplify and Grow, the effects of that on our business before we go to the market with it. I think what we've learned over time since our Investor Day is credibility. We're doing what we said we're going to do. We want to make sure we're ready and have the right commitment. We do know that will happened by Investor Day. So you have a lot of clarity at Investor Today. And to the extent we get further down the road, we'll give you an update as we determine that and I think we'll have probably something incremental. Each quarter, we'll give you something incremental. But the full-fledged here's what it's going to mean for a really 2019 and 2020 and beyond is at Investor Day. As you can imagine putting things in motion today, it takes time to garner the benefit of those changes. And so, we don't see a ton of change on our business. And in all of 2018, you'll see elements of that trickling in the back half of 2018 and we'll give you that guidance as it becomes known and perhaps we'll will give you that guidance as it becomes know and perhaps we'll will give you some incremental in the second quarter.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"But, Erika, I would say that you're going to hear from us every quarter on things that we're doing that we more broadly place under that umbrella. You clearly heard this quarter on our sale of the troubled debt restructured loans, that broadly falls under the Simplify and Grow umbrella. We also had the Regions Insurance sale. We also in the prepared remarks gave you how much our head count was down quarter-over-quarter as well as how much it was down year-over-year. You've seen a number of public press releases on our reorganization efforts in terms of how we line up to go to market. And so, you're going to hear these every quarter and this quarter was probably one of the more informative quarters we've had in a while and you'll see that continue throughout the year. To David's point, we'll continue to give those every quarter. But then you'll see us embed those in our three-year forecast at Investor Day next February. But it's not like you've got to wait for February to hear some of this. But clearly, some of these things we're doing, we can't pre-announce prior to actually executing the transactions.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,"Got it. So my follow-up then is, is the better way to think about it is Simplify and Grow is part of your business as usual way of conducting your day-to-day. And so as we think about 2018 or 2019, even though the formal announcement is not until February, you're still Simplify and Grow – taking those initiatives that your shareholders can reap benefits in 2018 and 2019?",Erika Najarian,Analyst,Bank of America Merrill Lynch,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Absolutely. And then, I wouldn't say – I wouldn't cast February as a formal announcement of Simplify and Grow. February is a formal announcement of our next three year plan and in our Simplify and Grow activities will be embedded in that plan.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,Understood. It's very clear. Thank you.,Erika Najarian,Analyst,Bank of America Merrill Lynch,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,Thank you.,"O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Good morning, Betsy.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,"Good morning. Couple of questions. One is on the 2018 expectations. You indicated the fee growth target and obviously, you have sold the insurance business. So I just wanted to make sure I understood that there's other areas that are going to be picking up and making up for the insurance business sales. Is that accurate?",Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Well, so we put the Regions Insurance group as discontinued operations and we restated everything. So you got to go back to the restated baseline as well. So we're talking about 3% to 6% off of that. We're not going to do 3% to 6% off of overcoming the...","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,Right.,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,...the gross revenue of insurance.,"David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,"Right. And so, what you're suggesting is that the fee growth rate really was not being impacted by the insurance business?",Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,That's right.,"David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,Right.,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,We would have – that's right. Yeah. We'd have 3% to 6%.,"David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,Regardless.,"O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,Regardless.,"David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,"All right. Okay. And then, just on some of the investments, you mentioned the de novo branches. Maybe if you could give us a sense of size, scale, scope, market, timing?",Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,I'll ask John Owen to respond to that.,"O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Good morning. This is John Owen. Yeah. We're going to roll out probably 20 branches this year. They'd be concentrated really in three markets. St. Louis will be the majority. Roughly, eight or nine of our branches will open in St. Louis in the really second, third quarter time period. Atlanta would be another market where we're going to open branches on this quarter and last would be Houston. So those would be the key markets. You'll see the roughly 20 branches open this year. There'll be a few infill markets, and Memphis and Knoxville and Charlotte will infill as well. The other thing on the branching standpoint, we mentioned consolidation. We've got roughly 30 to 40 consolidations teed up as well. So you'll see our net branch count will be down a little bit, but you'll see us continue to invest in key markets.",John B. Owen,Senior Executive Vice President & Head-Regional Banking Group,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,"Okay. And then that trajectory of investment and expense, say, obviously feeds into the efficiency ratio expectations you've got. Do you feel like this type of pace is something to continue into in 2019, over the next couple of years or you feel like your branch network will be where you want it to be by the end of this year?",Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Yeah, I would tell you over the next two to three years, you'll see us continue to build roughly 20 to 30 branches a year in select markets. We also have opportunities where we can continue to consolidate. The opportunities on consolidation are getting a little bit harder, if you will. We consolidated in the last two years about 10% of our network over the last two years. And there's opportunity where a lot of that opportunity is what I'll call two for ones or three for ones, where we're taking a branch and expanding a branch to absorb two or three other branches that are nearby. So you'll see us balance out building and consolidating.",John B. Owen,Senior Executive Vice President & Head-Regional Banking Group,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"But, Betsy, our branch rationalization process is part of how we manage channels in general, whether through our digital channel or contact centers, our ATMs, our branches. And it's a fairly dynamic review and it's been one we've had in place for a quite some time. And to John's point, we'll continue to make annual adjustments to that as we see markets change and we see customer behavior change. And so it's a very analytical process and so we may forecast out three years on that, but we review them constantly, so if we need to make in-flight adjustments, we can do that.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,The other thing I would add is the fact that the reason we've been able to consolidate as many branches we have is our investments in online and mobile space. We have a lot of self-service transactions go to online and mobile. And that's allowed really us to consolidate and not impact our growth.,John B. Owen,Senior Executive Vice President & Head-Regional Banking Group,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,"And just one last one, on video ATMs, we were down there recently. It was interesting to see how much functionality that has. And I was wondering, is that strategy of video ATM, A, kind of fill in of existing footprint or is it more an opportunity to expand footprint?",Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"We've got roughly 90 video ATMs deployed. It really is – what we're finding out, we're testing in a couple of different ways. One, inside our branches, we're using the vestibules to extend banking hours. And to your point, customers can do most of their banking transactions on that video teller, have an opportunity to talk to an experienced banker that can help them with those transactions that we've seen good adoption in our branches in the vestibules. We've also tried it in a few drive-through ATMs. I would tell you those are not quite as high usage, because we don't have the ability to assist that customer and walk them through the process as well. So we're seeing good adoptions in the branch.",John B. Owen,Senior Executive Vice President & Head-Regional Banking Group,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Yeah, and I think, Betsy, if you look at our ATM network, we've continued to invest in that channel and we've image enabled all of our traditional ATMs and we're seeing customer transactional behavior improve at what we would call a somewhat traditional ATM. We've been encouraged by the video tellers, but it also has been a learning process. We found some places they worked great, in some places, not so great. We think it's an interesting technology. We think that there's a place for it in our channel portfolio. But I would tell you, we're still in the early stages of that. Even with 90 units in our portfolio – 90 units, even in that regard, that is a fairly small investment, but it's allowing us to learn how we might deploy it on a larger basis.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,Okay. Thank you.,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Hey, good morning Ken.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,"Thanks. Good morning. Hey, good morning, Grayson. Good morning, David. First question just on the capital markets front within fees, another good quarter down a little bit, but expected. You talked about that being a big contributor to fee growth this year. Can you talk about just pipelines where it's coming from and how much more you might have to still hire to build and bulk that business up? Thanks.",Ken Usdin,Analyst,Jefferies LLC,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"This is John Turner. We expect it to be a nice contributor to revenue growth, nice revenue growth through the balance of the year. I think what you're saying is the maturation of the various product offerings that we've put together and the capabilities that we've developed. For the quarter, the growth in revenue over year – year-over- year growth in revenue was broad-based across a number of different product categories whether it was long- term real estate financing products, it was M&A, it was loan syndications, all improved your-over-year and, again, I think really reflect the maturation of the capabilities and our teams having better conversations with our customers about how we can meet their specific needs. In terms of investments, we're continuing to recruit and will continue to recruit. We see some capabilities that we still probably would aspire to have or to continue to build out. And so we expect capital markets to continue to grow nicely in 2018, on into 2019. Pipelines are pretty good for the second quarter and into part of the third quarter at this point.",John Turner,President & Head of Corporate Banking Group,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,Got it. Okay. And then my last – the question is just on all things credit continue to look excellence all measures and you had another big quarter of reserve release. I know you're saying bottom end of the charge offs this year but is it also fair to say that there is still amount of relief that we could still see even from here? Thanks guys.,Ken Usdin,Analyst,Jefferies LLC,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Yeah, Ken. So we don't forecast what the reserve percentage is going to be. We're at 105%. We still have non- performing assets. While they're down 75 basis points, we think there is room to continue to improve. We're encouraged by that. The strength of the commercial customer, the strength of the consumer is there. There are elements of consumer that ticked up just a little bit. Card would be one. But we see the consumer being very stable. We just don't think that the consumer credit metrics improved as much as we believe the commercial credit metrics can kind of continue to come down which manifest themselves as, I mean, in non-performing loans and non-performing assets. So there is always possibility for a reserve release, depends on what happens with the criticized classifieds. And we'll let the model run and it speaks for itself.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Well, I do think you saw this quarter the very encouraging improvement. Our credit metrics, a big part of that was payoffs and paydowns on some adversely rating credits that quite frankly we did not anticipate it. Those are very difficult to forecast, but it's also encouraging that those customers can find alternative forms of financing today, and so we do anticipate that there is an opportunity for that trend to continue through the rest of the year.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,"Understood. Thanks, again.",Ken Usdin,Analyst,Jefferies LLC,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Good morning, Chris.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,"Hi, good morning. My question is just a follow-up on the Simplify and Grow strategy, and the role of technology, and the March reorg that you had where you're putting technology under John Owen, the philosophy behind that? And also a lot of the tech spend it seems to be self-funding. Do you think that's going to continue into 2019? Thank you.",Christopher Spahr,Analyst,Wells Fargo Securities LLC,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Yeah, I mean, if you look back historically, we've had a very consistent investment strategy in the technology. We've not varied that a lot year-to-year. I think we've been pretty disciplined in that regard, and we're quite proud of the technology platform we've built. My background for the bulk of my career was in technology. John Owen has a similar background as well, and John has worked hard to strengthen and align the strategy in particular around our consumer customers with all of the attention to digital channels that we have. As you know, Scott Peters runs our Consumer Banking Group, and he and John work together. We have an approach from a technology perspective, of not being the leader but being an aggressive follower of proven technology and that strategy's worked well for us. We have done a number of upgrades in technology over the past few quarters, a substantial upgrade on human resources for technology, wealth management, complete upgrade of that infrastructure, and in addition, treasury management. So we continue to make improvements. We get a lot of internal and external benchmarks that would indicate that that's working. So John, elaborate if you would.","O. B. Grayson Hall, Jr.","Chairman, President & Chief Executive Officer",Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Just a couple of points to reiterate. From a technology standpoint, we've been consistent even through the financial crisis. We've had really significant investments in technology. And if I think about consumer for a minute, we're very fortunate to operate a one-consumer platform across all of our 1,470 branches. That gives us an advantage over competitors that have multiple platforms that they have to maintain and change over time. We also offer very good digital capabilities, invested heavily in our digital space in both online and mobile banking. Our customers give us good feedback. We have J.D. Power really survey our customers every quarter to get feedback on where we can make changes and where we can improve and we come in every quarter in the top quartile in terms of our channel capabilities. From kind of an ATM and video teller standpoint, we rolled out DepositSmart ATMs across our entire footprint. About 90 video tellers, we mentioned earlier, we're testing. So a lot of investment both in the digital space and the ATM space and branch channel. To move on to the wealth business, as Grayson mentioned, we converted about 14 platforms on to our SCI platform which really is a state-of-the-art platform, great customer experience, great associate experience also gives us a better price point going forward. From a commercial standpoint, the team's done a really good job of putting new iTreasury platform, which gives us a much better user interface, better reporting, better analytics in our treasury space. And they're working very hard with nCino to roll out new small business and commercial platforms. So a lot of good things happening. I'll tell you, this is one of those areas where you'll never be done. We're going to continually have to invest in the digital space and really balance out where we make our investments and where we place our bets, but I feel good about the platform we have in place.",John B. Owen,Senior Executive Vice President & Head-Regional Banking Group,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,Thank you.,Christopher Spahr,Analyst,Wells Fargo Securities LLC,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,"Good morning. I just want to flesh out the margin expectations for the second quarter here a bit more. In particular, obviously, should benefit from the rate hike, but it looks like your borrowings came down at period end and probably have a little bit more margin expansion than one would just expect from a straight rate hike?",Steve Moss,Analyst,"B. Riley FBR, Inc.",regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"Well, so we have a day count change going into the second quarter. So don't forget that's two points going the other way. And we were up four points this quarter as a result of day count. When you consider that and you consider the full quarter benefit of the rate hike and where we are, we would expect stable to up modestly in terms of margin, overcoming that two points decline for day count. And we feel much better about our NII growth for the year, which is why we changed our outlook for the entire year to the 4% to 6% range. So we think we're well-positioned to take advantage of not only this past rate increase, but what might be coming in the future, which we have one full rate increase baked into our expectations for remainder of the year","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
question,"Okay. And then with regard to capital deployment in targeted CET1, I know now you're still a pretty high here, obviously did an aggressive asset last year. How close do you think you can approach your 9.5% CET1 target by June 2019?",Steve Moss,Analyst,"B. Riley FBR, Inc.",regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
answer,"June 2019, we can get pretty close by then. We've really been talking about trying to get to 9.5% by the end of this year and we've messaged we can't quite get there but we'll get awful close, I think by the middle of next year. Based on what we know today that we'd be right on top of that. Now things can change. Risk profiles can change. The world can change and that's a long time. But based on our forecast right now, we'd be right on top of it by a year from now.","David J. Turner, Jr.",Senior Executive Vice President & Chief Financial Officer,Regions Financial Corp.,regions,qr,../data/quarterly/earningsTran\regions_1Q18.pdf
